"loan_date","est_yield","est_loss","est_return","rating","year"
2013-10-04,0.22352,0.1225,0.10102,"E","2013"
2013-08-29,0.1292,0.0474,0.0818,"B","2013"
2013-12-20,0.1121,0.0424,0.0697,"B","2013"
2013-04-10,0.1937,0.0925,0.1012,"D","2013"
2013-11-27,0.19571,0.1075,0.08821,"D","2013"
2013-01-17,0.261,0.1275,0.1335,"E","2013"
2013-12-11,0.109,0.0399,0.0691,"A","2013"
2013-09-24,0.23673,0.1325,0.10423,"E","2013"
2013-12-26,0.16717,0.0849,0.08227,"C","2013"
2013-11-26,0.15519,0.0699,0.08529,"C","2013"
2013-02-28,0.2064,0.1025,0.1039,"D","2013"
2013-07-05,0.2021,0.0874,0.1147,"C","2013"
2013-12-27,0.17019,0.0874,0.08279,"C","2013"
2013-12-23,0.1264,0.0524,0.074,"B","2013"
2013-02-19,0.2274,0.1075,0.1199,"D","2013"
2013-07-10,0.2254,0.1175,0.1079,"D","2013"
2013-03-11,0.0731,0.0199,0.0532,"AA","2013"
2013-11-07,0.14661,0.0624,0.08421,"C","2013"
2013-10-09,0.23057,0.1275,0.10307,"E","2013"
2013-11-27,0.17274,0.0899,0.08284,"C","2013"
2013-10-10,0.09202,0.0274,0.06462,"A","2013"
2013-07-30,0.2064,0.1025,0.1039,"D","2013"
2013-06-28,0.1808,0.0824,0.0984,"C","2013"
2013-08-20,0.103,0.0324,0.0706,"A","2013"
2013-10-16,0.10208,0.0324,0.06968,"A","2013"
2013-09-11,0.1571,0.0649,0.0922,"C","2013"
2013-12-19,0.08619,0.0274,0.05879,"A","2013"
2013-06-03,0.1382,0.0524,0.0858,"B","2013"
2013-10-21,0.25691,0.1475,0.10941,"E","2013"
2013-12-06,0.15767,0.0774,0.08027,"C","2013"
2013-04-29,0.059,0.0124,0.0466,"AA","2013"
2013-12-09,0.14256,0.0649,0.07766,"C","2013"
2013-10-17,0.17716,0.0874,0.08976,"C","2013"
2013-05-31,0.1932,0.0799,0.1133,"C","2013"
2013-12-13,0.10446,0.0374,0.06706,"A","2013"
2013-06-18,0.2355,0.1125,0.123,"D","2013"
2013-12-31,0.14559,0.0674,0.07819,"C","2013"
2013-07-10,0.0751,0.0199,0.0552,"AA","2013"
2013-06-03,0.1181,0.0399,0.0782,"A","2013"
2013-09-17,0.1015,0.0324,0.0691,"A","2013"
2013-12-06,0.13507,0.0599,0.07517,"B","2013"
2013-12-19,0.14814,0.0699,0.07824,"C","2013"
2013-07-26,0.1808,0.0824,0.0984,"C","2013"
2013-09-10,0.0647,0.0149,0.0498,"AA","2013"
2013-05-28,0.1829,0.0724,0.1105,"C","2013"
2013-09-27,0.26366,0.1525,0.11116,"HR","2013"
2013-12-03,0.16162,0.0799,0.08172,"C","2013"
2013-06-19,0.135,0.0474,0.0876,"B","2013"
2013-11-26,0.1238,0.0449,0.0789,"B","2013"
2013-11-07,0.09653,0.0299,0.06663,"A","2013"
2013-05-09,0.1404,0.0499,0.0905,"B","2013"
2013-06-10,0.0905,0.0274,0.0631,"A","2013"
2013-06-26,0.1404,0.0499,0.0905,"B","2013"
2013-07-17,0.1452,0.0574,0.0878,"B","2013"
2013-12-11,0.14256,0.0649,0.07766,"C","2013"
2013-05-28,0.1619,0.0599,0.102,"B","2013"
2013-12-02,0.17274,0.0899,0.08284,"C","2013"
2013-02-11,0.1873,0.0874,0.0999,"C","2013"
2013-12-17,0.09989,0.0349,0.06499,"A","2013"
2013-10-23,0.1797,0.0899,0.0898,"C","2013"
2013-11-05,0.13705,0.0549,0.08215,"B","2013"
2013-07-02,0.1337,0.0499,0.0838,"B","2013"
2013-12-31,0.09628,0.0324,0.06388,"A","2013"
